system   D            wsystem.c:583  maybe_parent_dir                 [   0.00037] Also searching C:\Users\Albi\Desktop\LUA_Attack\
display  D   display_settings.c:191  debug_display_settings           [   0.11872] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.11873] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.11873] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.11874] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.11874] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.11875] Score is : 726
display  D   display_settings.c:191  debug_display_settings           [   0.11876] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.11877] Score is : 721
display  D   display_settings.c:191  debug_display_settings           [   0.11877] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.11878] Score is : 717
display  D   display_settings.c:191  debug_display_settings           [   0.11878] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.11879] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.11879] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.11880] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.11881] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.11881] Score is : 726
display  D   display_settings.c:191  debug_display_settings           [   0.11882] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.11883] Score is : 721
display  D   display_settings.c:191  debug_display_settings           [   0.11883] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.11884] Score is : 717
display  D   display_settings.c:191  debug_display_settings           [   0.11884] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.11885] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.11886] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.11886] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.11887] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.11887] Score is : 726
display  D   display_settings.c:191  debug_display_settings           [   0.11888] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.11889] Score is : 721
display  D   display_settings.c:191  debug_display_settings           [   0.11889] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.11890] Score is : 717
display  D   display_settings.c:191  debug_display_settings           [   0.11890] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.11891] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.11892] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.11892] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.11893] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.11894] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.11894] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.11895] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.11895] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.11896] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.11897] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.11897] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.11898] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.11899] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.11899] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.11900] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.11900] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.11901] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.11902] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.11902] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.11903] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.11904] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.11904] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.11905] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.11905] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.11906] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.11907] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.11907] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.11908] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.11909] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.11910] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.11910] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.11911] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.11912] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.11912] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.11913] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.11913] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.11914] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.11916] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.11917] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.11918] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.11918] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.11919] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.11920] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.11920] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.11921] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.11922] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.11922] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.11923] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.11923] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.11924] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.11925] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.11925] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.11926] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.11927] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.11927] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.11928] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.11929] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.11929] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.11930] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.11930] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.11931] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.11932] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.11932] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.11933] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.11934] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.11934] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.11935] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.11935] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.11936] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.11937] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.11937] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.11938] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.11939] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.11939] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.11940] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.11940] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.11941] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.11942] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.11942] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.11943] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.11944] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.11944] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.11945] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.11945] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.11946] Score is : 598
display  D   display_settings.c:191  debug_display_settings           [   0.11947] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.11947] Score is : 593
display  D   display_settings.c:191  debug_display_settings           [   0.11948] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.11949] Score is : 589
display  D   display_settings.c:191  debug_display_settings           [   0.11949] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.11950] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.11950] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.11951] Score is : 769
